value,created_at,lat,lon,ele
16,2019-03-20 12:37:52 UTC,,,
16,2019-03-20 12:37:56 UTC,,,
16,2019-03-20 12:38:00 UTC,,,
16,2019-03-20 12:38:04 UTC,,,
16,2019-03-20 12:38:10 UTC,,,
16,2019-03-20 12:38:12 UTC,,,
16,2019-03-20 12:38:16 UTC,,,
16,2019-03-20 12:38:20 UTC,,,
16,2019-03-20 12:38:24 UTC,,,
19,2019-03-20 12:38:28 UTC,,,
16,2019-03-20 12:38:32 UTC,,,
16,2019-03-20 12:38:36 UTC,,,
16,2019-03-20 12:38:40 UTC,,,
16,2019-03-20 12:38:44 UTC,,,
16,2019-03-20 12:38:48 UTC,,,
16,2019-03-20 12:38:52 UTC,,,
16,2019-03-20 12:38:56 UTC,,,
16,2019-03-20 12:39:00 UTC,,,
16,2019-03-20 12:39:04 UTC,,,
16,2019-03-20 12:39:08 UTC,,,
16,2019-03-20 12:39:12 UTC,,,
16,2019-03-20 12:39:16 UTC,,,
16,2019-03-20 12:39:20 UTC,,,
16,2019-03-20 12:39:24 UTC,,,
16,2019-03-20 12:39:28 UTC,,,
16,2019-03-20 12:39:32 UTC,,,
16,2019-03-20 12:39:36 UTC,,,
16,2019-03-20 12:39:40 UTC,,,
16,2019-03-20 12:39:44 UTC,,,
16,2019-03-20 12:39:48 UTC,,,
16,2019-03-20 12:39:52 UTC,,,
16,2019-03-20 12:39:56 UTC,,,
15,2019-03-20 12:40:00 UTC,,,
17,2019-03-20 12:40:05 UTC,,,
15,2019-03-20 12:40:09 UTC,,,
15,2019-03-20 12:40:13 UTC,,,
14,2019-03-20 12:40:17 UTC,,,
14,2019-03-20 12:40:21 UTC,,,
14,2019-03-20 12:40:25 UTC,,,
14,2019-03-20 12:40:33 UTC,,,
14,2019-03-20 12:40:37 UTC,,,
14,2019-03-20 12:40:41 UTC,,,
14,2019-03-20 12:40:45 UTC,,,
15,2019-03-20 12:40:49 UTC,,,
15,2019-03-20 12:40:53 UTC,,,
15,2019-03-20 12:40:57 UTC,,,
15,2019-03-20 12:41:01 UTC,,,
15,2019-03-20 12:41:05 UTC,,,
15,2019-03-20 12:41:09 UTC,,,
15,2019-03-20 12:41:13 UTC,,,
15,2019-03-20 12:41:17 UTC,,,
15,2019-03-20 12:41:21 UTC,,,
15,2019-03-20 12:41:25 UTC,,,
15,2019-03-20 12:41:29 UTC,,,
15,2019-03-20 12:41:33 UTC,,,
15,2019-03-20 12:41:38 UTC,,,
15,2019-03-20 12:41:42 UTC,,,
15,2019-03-20 12:41:46 UTC,,,
15,2019-03-20 12:41:50 UTC,,,
15,2019-03-20 12:41:54 UTC,,,
15,2019-03-20 12:41:58 UTC,,,
15,2019-03-20 12:42:02 UTC,,,
15,2019-03-20 12:42:06 UTC,,,
15,2019-03-20 12:42:10 UTC,,,
15,2019-03-20 12:42:14 UTC,,,
15,2019-03-20 12:42:18 UTC,,,
15,2019-03-20 12:42:22 UTC,,,
15,2019-03-20 12:42:26 UTC,,,
15,2019-03-20 12:42:30 UTC,,,
15,2019-03-20 12:42:43 UTC,,,
15,2019-03-20 12:42:48 UTC,,,
15,2019-03-20 12:42:51 UTC,,,
15,2019-03-20 12:42:56 UTC,,,
15,2019-03-20 12:43:00 UTC,,,
15,2019-03-20 12:43:04 UTC,,,
15,2019-03-20 13:03:40 UTC,,,
15,2019-03-20 13:03:44 UTC,,,
15,2019-03-20 13:03:48 UTC,,,
15,2019-03-20 13:03:52 UTC,,,
15,2019-03-20 13:03:56 UTC,,,
15,2019-03-20 13:04:00 UTC,,,
15,2019-03-20 13:04:04 UTC,,,
15,2019-03-20 13:04:08 UTC,,,
15,2019-03-20 13:04:12 UTC,,,
15,2019-03-20 13:04:16 UTC,,,
15,2019-03-20 13:04:20 UTC,,,
15,2019-03-20 13:04:24 UTC,,,
15,2019-03-20 13:04:28 UTC,,,
15,2019-03-20 13:13:08 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:13:09 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 13:51:06 UTC,,,
15,2019-03-20 14:16:09 UTC,,,
15,2019-03-20 14:16:13 UTC,,,
15,2019-03-20 14:16:17 UTC,,,
15,2019-03-20 14:16:21 UTC,,,
15,2019-03-21 06:29:35 UTC,,,
15,2019-03-21 06:29:35 UTC,,,
15,2019-03-21 06:29:37 UTC,,,
15,2019-03-21 06:29:38 UTC,,,
15,2019-03-21 06:29:38 UTC,,,
15,2019-03-21 06:29:39 UTC,,,
15,2019-03-21 06:29:40 UTC,,,
15,2019-03-21 06:29:40 UTC,,,
15,2019-03-21 06:29:41 UTC,,,
