id,value,feed_id,created_at,lat,lon,ele
0E407E0QPZS80X72B6RK864QJ7,30.00,1026841,2019-03-20 12:32:12 UTC,,,
0E407E1ZY35TSAT5C3PQ9JE1PQ,30.00,1026841,2019-03-20 12:32:16 UTC,,,
0E407E3612JS8MF52EFNAYCQXT,30.00,1026841,2019-03-20 12:32:20 UTC,,,
0E407E4E240SJPC8WXVAKEAJ3J,30.00,1026841,2019-03-20 12:32:24 UTC,,,
0E407E5MMKF6PQ89VBR6X5H4NQ,30.00,1026841,2019-03-20 12:32:28 UTC,,,
0E407E6WCMSXVQ0Y5ZQ2D8ND04,30.00,1026841,2019-03-20 12:32:32 UTC,,,
0E407E838AKRVR345FR6MXJFVR,30.00,1026841,2019-03-20 12:32:36 UTC,,,
0E407E9AGZBYRX33845YQT9RRV,nan,1026841,2019-03-20 12:32:40 UTC,,,
0E407EAJ516B0RAECP4G840V6X,nan,1026841,2019-03-20 12:32:44 UTC,,,
0E407EBS1GZD5CTYEKZES47HHS,nan,1026841,2019-03-20 12:32:48 UTC,,,
0E407ED0K0Y30C7NTD78M3YY56,nan,1026841,2019-03-20 12:32:53 UTC,,,
0E407EE7PCQPGZ0DRSWJJ3X7A1,nan,1026841,2019-03-20 12:32:57 UTC,,,
0E407EFF3JVEHS8BSX7N9RKWTD,nan,1026841,2019-03-20 12:33:01 UTC,,,
0E407EGPHV4V0NM5420VCN5V7B,nan,1026841,2019-03-20 12:33:05 UTC,,,
0E407EHXGJDKEKJJZ6HGPCQ9A4,nan,1026841,2019-03-20 12:33:09 UTC,,,
0E407EK50V41H1G0JBD3B1DB7W,nan,1026841,2019-03-20 12:33:13 UTC,,,
0E407EMBTZDBRZ8BTMQCMFTH69,nan,1026841,2019-03-20 12:33:17 UTC,,,
0E407ENKFHYF2GQBAEAWEMJ0TE,nan,1026841,2019-03-20 12:33:21 UTC,,,
0E407EPTG294F8TY3PKM2CT5Q7,nan,1026841,2019-03-20 12:33:25 UTC,,,
0E407ER1NDZGZPYTV8AM4RKZF5,nan,1026841,2019-03-20 12:33:29 UTC,,,
0E407ES99TY3KXBT3EG663EVN4,nan,1026841,2019-03-20 12:33:33 UTC,,,
0E407ETGF1AVPQWBN47K48B3NY,nan,1026841,2019-03-20 12:33:37 UTC,,,
0E407EVQDWZCQNC9H6396MTKWF,nan,1026841,2019-03-20 12:33:41 UTC,,,
0E407EWZ0W3MKEK4ZAE3HE0WG4,nan,1026841,2019-03-20 12:33:45 UTC,,,
0E407EY69FKEZ6CBYA3650BNTH,nan,1026841,2019-03-20 12:33:49 UTC,,,
0E407EZDHE533EGNJC0YX56SE3,nan,1026841,2019-03-20 12:33:53 UTC,,,
0E407F0MT95PY39BP90YDHHDW7,nan,1026841,2019-03-20 12:33:57 UTC,,,
0E407F1VW93TERQEGKNB3XBPE3,nan,1026841,2019-03-20 12:34:01 UTC,,,
0E407F33DFPDBEDHW4TWS20Y5C,nan,1026841,2019-03-20 12:34:05 UTC,,,
0E407F4B5GKFVBEWAMG22ASM1N,nan,1026841,2019-03-20 12:34:09 UTC,,,
0E407F5JM3NE8BHXPZ2EV7C8DD,nan,1026841,2019-03-20 12:34:13 UTC,,,
0E407F6S3029BM76ZA4Z02D8XD,nan,1026841,2019-03-20 12:34:17 UTC,,,
0E407F80QM0AQX6AA922FFJ8R3,nan,1026841,2019-03-20 12:34:21 UTC,,,
0E407F97KGDKWJCG86CXMHZWJ1,nan,1026841,2019-03-20 12:34:25 UTC,,,
0E407FAEQT7XBQMX7BKWDJYF38,nan,1026841,2019-03-20 12:34:29 UTC,,,
0E407FBPDPE2MPCMTD83EWVAEY,nan,1026841,2019-03-20 12:34:33 UTC,,,
0E407FCX7YSJ8TQFT6EMTXWWZP,nan,1026841,2019-03-20 12:34:37 UTC,,,
0E407FE4MJKR7XJZBCSWNTT49N,nan,1026841,2019-03-20 12:34:41 UTC,,,
